原术语,统一术语,说明
AI,人工知能,统一使用日语表达
API,アプリケーションプログラミングインターフェース,首次出现需要解释
UI,ユーザーインターフェース,统一使用日语表达
UX,ユーザーエクスペリエンス,统一使用日语表达
DB,データベース,统一使用日语表达
SQL,構造化照会言語,首次出现需要解释
HTML,ハイパーテキストマークアップ言語,首次出现需要解释
CSS,カスケーディングスタイルシート,首次出现需要解释
JS,JavaScript,统一使用英文
OS,オペレーティングシステム,统一使用日语表达
CPU,中央処理装置,统一使用日语表达
RAM,ランダムアクセスメモリ,统一使用日语表达
GPU,グラフィックス処理装置,统一使用日语表达
SSD,ソリッドステートドライブ,统一使用日语表达
HDD,ハードディスクドライブ,统一使用日语表达
自動運転,自動運転,保持日语表达
車載システム,車載システム,保持日语表达
ADAS,先進運転支援システム,统一使用日语表达
V2X,車両とインフラの通信,统一使用日语表达
OTA,空中ダウンロード,统一使用日语表达
ECU,電子制御ユニット,统一使用日语表达
CAN,コントローラーエリアネットワーク,统一使用日语表达
LIN,ローカルインターネットワーク,统一使用日语表达
FlexRay,フレックスレイ,保持英文
Ethernet,イーサネット,统一使用日语表达
クラウド,クラウド,保持日语表达
ビッグデータ,ビッグデータ,保持日语表达
IoT,モノのインターネット,统一使用日语表达
ブロックチェーン,ブロックチェーン,保持日语表达
機械学習,機械学習,保持日语表达
ディープラーニング,ディープラーニング,保持日语表达
自然言語処理,自然言語処理,保持日语表达
画像認識,画像認識,保持日语表达
音声認識,音声認識,保持日语表达
データマイニング,データマイニング,保持日语表达
